ID,RRI_A,RRI_C,RRI_D,RRI_E,RRI_F,RRI_G,RRI_H,RRI_I,RRI_K,RRI_L,RRI_M,RRI_N,RRI_P,RRI_Q,RRI_R,RRI_S,RRI_T,RRI_V,RRI_W,RRI_Y
seq431,1.40,1.29,1.00,1.00,1.00,1.25,1.00,1.00,1.00,1.25,1.00,1.00,1.00,1.00,1.00,1.33,1.00,1.00,0.00,1.00, 
seq432,1.00,1.00,1.22,1.00,1.00,1.00,0.00,1.00,1.33,1.15,0.00,1.00,1.00,1.00,2.67,1.00,1.00,1.00,1.00,1.00, 
seq433,1.00,1.00,1.00,1.67,1.00,1.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.40,1.00,1.00,1.00, 
seq434,1.40,1.50,1.00,1.00,1.00,2.02,1.00,1.00,1.00,1.18,1.00,1.00,1.00,1.00,1.20,1.00,1.00,1.00,1.00,1.00, 
seq435,1.50,1.00,1.00,0.00,0.00,1.67,0.00,1.00,1.67,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,1.00, 
seq436,1.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,1.00,0.00,0.00,1.00,1.40,0.00,1.00,0.00,1.00,0.00,1.00,1.00, 
seq437,1.00,1.00,1.00,1.00,1.00,1.44,1.00,1.10,1.00,1.29,1.00,1.15,1.00,1.00,1.00,1.00,1.00,1.00,0.00,1.00, 
seq438,1.00,1.00,1.00,0.00,1.00,1.00,0.00,1.00,1.33,1.00,1.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00,1.00, 
seq439,1.33,0.00,0.00,1.00,1.00,0.00,0.00,1.33,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00, 
seq440,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,1.00,1.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00, 
seq441,0.00,1.29,0.00,0.00,1.00,1.00,0.00,1.00,0.00,0.00,1.00,1.00,1.00,1.00,1.29,1.00,1.00,1.40,1.00,0.00, 
seq442,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,0.00,1.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00, 
seq443,1.00,0.00,0.00,1.00,1.00,1.25,0.00,1.00,1.36,1.00,0.00,0.00,1.00,0.00,1.00,1.00,0.00,1.00,0.00,0.00, 
seq444,1.00,1.00,1.00,1.00,1.00,1.00,0.00,1.00,1.29,0.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,1.00, 
seq445,1.00,1.25,0.00,1.00,0.00,1.00,1.00,1.00,1.40,1.00,0.00,1.33,1.00,1.00,1.00,0.00,0.00,1.00,1.00,1.00, 
seq446,0.00,1.29,1.00,0.00,1.00,1.00,1.00,1.00,1.00,1.18,1.00,0.00,1.00,1.00,1.00,1.00,0.00,1.00,1.00,1.00, 
seq447,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.40,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,0.00, 
seq448,0.00,1.00,0.00,0.00,1.00,1.00,0.00,1.00,1.44,1.00,0.00,0.00,1.50,0.00,1.29,1.00,1.00,1.00,1.00,0.00, 
seq449,1.00,1.29,0.00,0.00,1.00,1.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.44,1.00,1.00,1.00,0.00,0.00, 
seq450,1.56,0.00,1.00,1.00,0.00,1.00,0.00,0.00,1.33,1.00,0.00,1.00,1.00,1.00,1.33,1.00,1.00,1.00,0.00,0.00, 
seq451,0.00,0.00,0.00,0.00,1.40,1.00,0.00,0.00,3.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00, 
seq452,1.00,0.00,0.00,0.00,1.00,1.33,1.00,0.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00, 
seq453,0.00,1.00,0.00,1.00,1.00,1.00,1.00,0.00,1.40,1.00,1.00,1.00,0.00,1.00,1.00,1.00,1.40,1.00,1.00,1.00, 
seq454,1.00,0.00,0.00,1.00,1.00,1.89,1.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,1.00,1.00,0.00,1.00, 
seq455,1.25,0.00,1.00,1.33,1.00,1.00,0.00,1.00,1.18,1.00,1.00,1.00,1.57,1.00,1.00,1.00,1.00,1.00,1.00,1.00, 
seq456,1.00,0.00,0.00,1.00,0.00,1.00,1.00,1.00,1.00,1.33,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00, 
seq457,1.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,1.00,1.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,1.33,0.00,0.00, 
seq458,1.00,1.00,0.00,0.00,1.00,0.00,1.00,1.00,1.00,1.00,0.00,0.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,1.00, 
seq459,1.00,1.00,0.00,0.00,1.00,1.00,0.00,1.00,1.00,1.00,0.00,0.00,1.00,1.00,0.00,1.00,1.00,1.00,0.00,1.00, 
seq460,1.50,0.00,0.00,0.00,1.00,1.40,1.00,0.00,1.00,1.00,0.00,0.00,1.00,1.00,1.50,1.00,1.00,1.00,0.00,1.00, 
seq461,1.40,0.00,1.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,1.00,0.00,1.50,0.00,0.00, 
seq462,1.00,0.00,0.00,1.40,1.00,1.00,0.00,1.00,1.22,1.00,1.00,0.00,1.00,1.40,1.00,1.00,0.00,1.00,0.00,0.00, 
seq463,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.29,1.00,1.00,1.67,1.00,1.00,1.00,1.00,1.00, 
seq464,1.50,0.00,1.00,1.00,0.00,1.00,0.00,0.00,1.00,1.33,1.00,1.00,0.00,0.00,0.00,1.00,1.00,1.50,0.00,0.00, 
seq465,0.00,1.00,1.00,0.00,1.00,1.50,1.00,1.67,0.00,1.00,0.00,1.40,1.00,0.00,0.00,0.00,1.33,1.40,1.67,1.00, 
seq466,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,1.60,0.00,1.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00, 
seq467,1.00,0.00,1.00,1.00,1.00,1.00,1.40,0.00,1.00,1.00,0.00,1.89,0.00,1.00,1.00,1.29,1.00,1.33,1.00,1.33, 
seq468,1.44,0.00,1.00,1.59,1.00,1.00,1.00,1.00,1.33,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,1.00, 
seq469,1.00,0.00,0.00,1.00,1.00,2.14,1.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,0.00,0.00,0.00,1.00,1.00,0.00, 
seq470,0.00,0.00,1.00,1.00,1.00,1.00,1.00,0.00,0.00,1.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00, 
seq471,0.00,0.00,1.00,1.00,1.67,1.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00, 
seq472,1.67,0.00,1.00,0.00,1.00,1.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,1.00,1.00,0.00, 
seq473,1.00,0.00,0.00,0.00,1.00,1.00,0.00,1.00,1.00,1.50,0.00,1.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00, 
seq474,1.00,0.00,0.00,1.00,0.00,1.33,0.00,1.00,1.00,1.33,0.00,0.00,1.00,0.00,0.00,1.00,0.00,1.00,0.00,1.00, 
seq475,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,1.22,0.00,1.00,0.00,0.00,1.00,0.00,1.00, 
seq476,1.00,1.00,1.00,1.00,1.00,1.80,0.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.92,1.00,0.00,1.00,1.00,0.00, 
seq477,1.00,0.00,1.00,0.00,1.00,1.00,0.00,0.00,1.00,1.50,0.00,1.00,0.00,0.00,0.00,1.00,1.00,1.67,0.00,0.00, 
seq478,1.29,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,1.17,0.00,1.00,1.17,1.25,1.53,1.00,1.00,1.00,1.00,1.00, 
seq479,1.00,0.00,0.00,1.00,1.00,1.67,1.00,1.00,1.00,1.50,1.00,0.00,1.00,0.00,0.00,1.00,1.00,1.40,0.00,0.00, 
seq480,1.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,1.50,0.00,0.00,1.00,1.00,0.00,1.00,1.00,1.50,0.00,0.00, 
seq481,1.40,0.00,0.00,0.00,0.00,1.00,1.00,1.00,1.33,1.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00,1.00,0.00, 
seq482,1.00,0.00,1.00,1.00,0.00,1.00,0.00,1.00,1.00,1.00,0.00,1.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00, 
seq483,1.00,0.00,1.00,1.00,1.67,1.00,0.00,1.00,1.00,1.00,0.00,1.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00, 
seq484,1.00,1.00,0.00,0.00,1.00,1.29,1.00,0.00,1.00,1.33,0.00,1.00,0.00,1.00,0.00,1.00,1.00,1.00,0.00,0.00, 
seq485,1.00,1.00,1.00,1.00,0.00,1.00,1.00,0.00,1.00,1.00,1.00,0.00,1.00,1.00,1.44,1.00,1.00,1.00,0.00,0.00, 
seq486,1.00,1.00,1.00,0.00,1.00,1.36,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,0.00,1.00,1.50,1.00,1.00,1.50, 
seq487,1.00,1.00,0.00,0.00,1.00,1.00,1.67,0.00,1.40,1.00,0.00,1.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,1.67, 
seq488,1.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,1.00,1.00,1.00,0.00,1.00,1.00,1.00,1.50,0.00,0.00,0.00,1.00, 
seq489,0.00,0.00,0.00,0.00,1.00,1.00,0.00,1.00,1.00,1.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00, 
seq490,1.00,0.00,0.00,0.00,1.50,1.00,0.00,0.00,1.00,1.57,0.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00, 
seq491,1.50,0.00,0.00,0.00,1.00,1.00,0.00,1.00,1.50,1.33,0.00,0.00,1.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00, 
seq492,1.00,0.00,1.00,1.00,0.00,1.00,0.00,1.00,1.00,1.00,0.00,1.00,1.00,1.00,1.29,0.00,0.00,1.00,0.00,0.00, 
seq493,1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,2.67,0.00,1.00,0.00,0.00,0.00,0.00,0.00, 
seq494,1.00,1.00,1.00,0.00,1.00,1.00,0.00,1.00,1.50,1.00,1.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,0.00, 
seq495,1.50,1.00,1.00,1.00,0.00,1.00,0.00,1.00,1.36,1.00,1.00,0.00,0.00,1.67,0.00,0.00,0.00,1.00,1.00,1.00, 
seq496,1.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,2.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00, 
seq497,1.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,1.00,0.00,0.00,1.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00, 
seq498,1.00,0.00,1.00,1.00,1.00,1.00,0.00,1.00,1.00,1.40,1.00,0.00,0.00,1.00,0.00,1.00,1.00,1.00,0.00,0.00, 
seq499,1.00,1.33,0.00,1.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,1.40,0.00,1.25,1.50,1.00,1.00,0.00,0.00,1.00, 
seq500,1.00,1.00,1.50,1.00,1.00,1.29,1.00,1.00,1.00,1.00,0.00,1.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00, 
seq501,2.05,0.00,1.00,1.00,1.00,1.29,0.00,1.22,1.00,1.00,1.00,1.00,1.00,1.00,0.00,1.00,1.40,1.00,1.00,1.00, 
seq502,1.62,0.00,0.00,1.00,1.00,1.36,0.00,1.00,1.83,1.33,1.00,1.00,1.00,0.00,1.00,1.00,1.40,1.22,1.00,1.00, 
seq503,1.00,1.00,1.00,0.00,1.00,2.43,1.00,0.00,1.00,1.00,1.00,0.00,1.00,0.00,0.00,1.33,1.00,1.00,1.00,1.00, 
seq504,1.60,0.00,1.00,1.00,0.00,1.00,0.00,1.00,1.00,1.00,0.00,1.00,1.00,1.00,0.00,1.00,1.00,1.00,1.00,0.00, 
seq505,1.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,1.33,1.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00, 
seq506,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,1.50,0.00,1.00,1.00,1.00,1.50,1.00,0.00,0.00, 
seq507,1.00,0.00,1.00,0.00,1.00,1.00,0.00,0.00,1.50,1.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,1.67,0.00,1.00, 
seq508,1.00,0.00,1.00,1.00,1.00,1.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,1.00,0.00,1.00, 
seq509,0.00,1.00,0.00,1.00,1.00,1.00,0.00,1.00,1.50,1.00,0.00,1.00,1.00,0.00,0.00,1.00,1.40,0.00,0.00,1.00, 
seq510,1.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,1.33,0.00,1.00,0.00,0.00,1.00,1.00,0.00,1.00,0.00,0.00, 
seq511,1.29,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00, 
seq512,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.25,1.00,0.00,1.00,1.00,1.00,1.00,1.00,0.00,1.00,0.00,1.00, 
seq513,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.31,1.00,1.00,1.00,1.00,1.00,1.33,1.00,1.00, 
seq514,1.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,1.40,1.00,0.00,1.00,1.00,1.00,1.00,1.67,1.67,1.00,1.00,1.50, 
seq515,1.44,1.00,1.00,0.00,1.00,1.29,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00, 
seq516,1.43,1.00,1.00,0.00,1.00,1.52,1.00,1.00,1.00,1.33,0.00,1.00,1.00,0.00,0.00,1.50,1.00,1.00,0.00,1.00, 
seq517,1.00,1.00,1.00,0.00,1.00,1.36,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,0.00,1.00,0.00,1.00,1.00,1.00, 
seq518,1.80,1.00,0.00,0.00,1.00,1.38,0.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,1.00,0.00,1.00,1.00,0.00,0.00, 
seq519,1.36,1.00,0.00,1.00,0.00,1.40,1.00,1.00,1.00,1.00,0.00,0.00,1.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00, 
seq520,1.67,0.00,1.00,0.00,1.00,1.00,1.00,1.00,1.40,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,1.00, 
seq521,1.00,1.00,0.00,0.00,1.00,1.00,0.00,1.00,1.00,1.00,0.00,0.00,1.00,0.00,0.00,1.00,1.50,1.00,0.00,0.00, 
seq522,1.89,1.00,0.00,1.00,1.00,1.33,0.00,1.00,1.22,1.00,1.00,1.00,1.00,1.00,1.00,1.29,1.00,1.29,1.00,2.43, 
seq523,1.31,1.00,1.40,1.00,1.00,1.15,0.00,1.00,1.00,1.33,0.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,1.00, 
seq524,1.46,0.00,1.00,1.00,1.00,1.19,1.00,1.00,0.00,1.20,1.00,1.25,1.00,1.00,0.00,1.62,1.00,1.00,1.00,1.00, 
seq525,1.50,1.00,1.00,1.00,1.00,1.36,0.00,0.00,0.00,1.00,1.00,0.00,1.00,0.00,0.00,1.00,0.00,1.00,1.00,1.00, 
seq526,0.00,1.00,0.00,1.00,1.00,3.00,0.00,1.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00, 
seq527,1.56,0.00,0.00,0.00,0.00,1.55,0.00,1.00,0.00,1.00,0.00,1.00,1.00,0.00,0.00,1.67,1.40,1.89,0.00,0.00, 
seq528,1.00,1.40,1.00,0.00,1.00,1.00,1.00,1.00,1.33,1.00,0.00,0.00,1.00,1.00,0.00,1.00,1.00,1.00,0.00,1.00, 
seq529,1.44,1.22,1.00,0.00,1.67,1.00,0.00,1.00,1.00,1.00,0.00,1.00,1.00,1.00,1.33,1.40,1.20,1.20,0.00,1.00, 
seq530,0.00,0.00,0.00,0.00,1.00,1.00,0.00,1.67,0.00,1.00,1.00,0.00,1.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00, 
seq531,1.00,0.00,0.00,0.00,1.00,1.00,0.00,1.00,1.40,1.29,1.00,0.00,1.00,0.00,1.00,1.00,0.00,1.00,0.00,0.00, 
seq532,1.00,1.00,1.00,1.00,1.00,1.00,0.00,1.22,1.67,1.00,1.00,1.00,0.00,0.00,1.00,1.00,1.00,1.00,0.00,0.00, 
seq533,0.00,1.00,0.00,0.00,1.00,1.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00, 
seq534,0.00,1.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,1.50,1.00,2.00,1.67,0.00,1.00, 
seq535,2.00,1.00,0.00,0.00,1.00,1.00,1.67,1.00,1.67,1.36,1.00,1.00,1.00,0.00,1.00,0.00,1.00,1.00,0.00,0.00, 
seq536,1.00,1.29,1.00,0.00,1.00,1.00,0.00,1.00,0.00,1.00,0.00,1.50,1.00,1.00,1.25,1.00,1.00,0.00,1.00,1.67, 
seq537,1.00,0.00,1.00,1.00,1.00,1.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,1.25,0.00,0.00,0.00,0.00,1.00, 
seq538,1.00,0.00,0.00,1.00,0.00,1.00,0.00,1.00,1.00,1.00,0.00,0.00,1.00,1.67,0.00,1.00,1.00,0.00,0.00,0.00, 
seq539,1.00,0.00,1.00,0.00,1.00,1.00,1.00,0.00,1.00,1.00,0.00,0.00,1.00,1.00,0.00,1.00,1.50,1.00,0.00,1.00, 
seq540,1.00,1.00,1.00,1.22,1.00,1.00,1.00,1.22,1.29,1.00,1.00,1.00,1.00,1.25,1.00,1.36,1.00,1.00,0.00,1.00, 
seq541,1.20,1.00,1.00,1.00,1.00,1.00,0.00,1.31,1.00,1.25,1.00,1.00,1.33,1.00,0.00,1.00,1.00,1.00,1.00,1.00, 
seq542,0.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,1.00, 
seq543,1.57,0.00,0.00,1.00,0.00,1.00,0.00,1.00,1.00,1.00,0.00,1.00,0.00,1.00,0.00,1.00,1.00,1.00,1.00,0.00, 
seq544,1.00,1.00,1.00,1.44,1.00,1.00,1.00,1.40,1.13,1.00,1.00,1.00,1.00,1.00,1.25,1.00,1.50,1.00,1.00,1.00, 
seq545,1.00,1.29,1.00,1.00,0.00,1.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,1.00,1.40,1.00,1.00,0.00,1.00,1.00, 
seq546,1.00,0.00,1.00,1.00,1.00,1.00,0.00,1.00,1.00,1.50,0.00,1.00,1.00,0.00,1.25,1.00,1.00,0.00,0.00,0.00, 
seq547,0.00,0.00,0.00,1.00,1.00,1.00,0.00,1.67,0.00,1.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00,1.00,0.00,1.00, 
seq548,0.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,1.40,0.00,1.00,1.00,1.00,1.00,0.00,0.00,1.00,0.00,0.00, 
seq549,1.00,0.00,1.00,1.00,1.00,1.40,1.25,1.00,1.00,0.00,0.00,1.00,0.00,1.00,1.00,1.00,0.00,1.67,0.00,0.00, 
seq550,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00, 
seq551,1.40,0.00,1.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00, 
seq552,1.33,1.00,1.00,1.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,1.00, 
seq553,1.00,1.18,1.00,0.00,1.00,1.00,0.00,0.00,1.00,1.00,0.00,1.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,1.00, 
seq554,0.00,0.00,0.00,0.00,1.67,1.00,0.00,0.00,1.00,1.00,1.00,0.00,1.00,1.67,1.00,0.00,0.00,0.00,0.00,0.00, 
seq555,1.00,0.00,1.00,1.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,0.00,1.33, 
seq556,1.40,1.00,1.00,0.00,1.00,1.40,1.00,0.00,1.00,1.50,0.00,1.50,1.00,0.00,1.00,1.00,1.00,1.33,0.00,0.00, 
seq557,1.00,0.00,1.00,0.00,1.00,0.00,1.00,1.00,1.50,1.00,1.00,1.00,0.00,1.00,1.00,1.00,1.00,1.00,0.00,1.00, 
seq558,0.00,0.00,0.00,0.00,0.00,1.00,1.74,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00, 
seq559,0.00,0.00,1.00,0.00,1.00,1.00,1.00,0.00,1.00,1.00,1.00,0.00,1.00,0.00,1.50,1.00,1.00,1.00,0.00,1.00, 
seq560,0.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,1.33,1.00,1.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,0.00,1.00, 
seq561,1.00,1.00,1.50,1.22,1.00,1.22,1.00,1.00,1.25,1.00,0.00,0.00,1.32,1.67,1.00,1.29,1.00,1.00,1.00,1.00, 
seq562,1.00,0.00,1.00,1.50,1.00,1.00,0.00,1.00,1.50,1.00,1.00,1.00,1.00,1.00,0.00,1.00,1.00,1.00,0.00,1.00, 
seq563,1.00,1.00,1.00,1.00,1.00,1.62,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.20,1.50,1.00,1.00,1.00,0.00, 
seq564,1.00,1.00,1.00,1.50,1.00,1.40,1.50,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00, 
seq565,1.50,0.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,1.00,1.00, 
seq566,1.00,1.00,0.00,1.00,0.00,1.00,1.00,1.00,1.00,1.00,0.00,0.00,1.00,1.00,1.00,1.00,1.20,0.00,0.00,1.00, 
seq567,1.00,0.00,1.00,1.50,1.00,1.33,1.00,1.00,1.00,1.00,0.00,0.00,1.00,1.00,1.44,1.67,1.00,1.00,1.00,1.00, 
seq568,1.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,1.50,1.40,1.00,0.00,1.00,1.00,1.40,1.00,1.67,1.00,0.00,1.00, 
seq569,0.00,1.00,0.00,0.00,1.00,1.00,0.00,1.00,1.67,1.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00, 
seq570,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.29,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,1.00, 
seq571,1.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.40,1.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00, 
seq572,1.50,0.00,1.00,1.00,1.00,1.00,0.00,1.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00, 
seq573,1.00,0.00,0.00,0.00,1.00,1.00,0.00,1.00,1.33,0.00,0.00,0.00,1.00,0.00,1.44,0.00,1.00,1.33,1.00,1.00, 
seq574,1.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00, 
seq575,1.00,1.29,1.00,0.00,1.00,1.50,1.00,1.00,1.00,1.00,0.00,0.00,1.00,1.00,1.00,1.29,1.00,1.00,1.00,0.00, 
seq576,1.40,1.29,1.00,0.00,1.00,1.29,1.00,0.00,1.00,1.57,0.00,1.00,1.40,1.00,1.00,1.00,1.00,1.00,0.00,0.00, 
seq577,1.00,1.00,1.00,1.40,0.00,1.33,0.00,1.00,1.25,1.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00, 
seq578,1.50,1.00,0.00,1.00,1.00,1.00,0.00,1.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00, 
seq579,1.00,1.29,1.00,1.00,1.00,1.50,0.00,1.00,1.50,1.00,0.00,1.00,1.00,1.00,1.00,1.00,1.25,1.50,1.00,1.00, 
seq580,1.00,1.00,0.00,0.00,1.00,1.33,1.00,1.00,1.40,1.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00, 
seq581,1.00,1.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,1.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00, 
seq582,1.00,1.00,1.00,1.00,1.00,1.15,1.00,1.00,1.22,1.00,1.00,1.40,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00, 
seq583,1.00,1.29,1.33,1.00,1.00,1.00,1.33,1.00,1.00,1.00,0.00,1.67,1.46,1.00,1.00,1.33,1.00,1.00,1.00,1.00, 
seq584,1.00,1.40,1.50,0.00,1.00,1.40,0.00,1.00,1.40,1.00,0.00,1.00,1.40,1.00,1.00,1.00,1.00,1.00,0.00,1.00, 
seq585,1.00,1.29,1.00,1.00,0.00,1.00,0.00,1.00,1.50,0.00,0.00,1.00,1.40,1.00,1.00,1.00,1.50,1.00,0.00,1.00, 
seq586,0.00,1.00,1.00,0.00,1.00,1.00,0.00,0.00,1.00,0.00,0.00,1.00,1.00,1.00,0.00,1.00,1.00,1.00,0.00,0.00, 
seq587,1.00,1.00,1.00,0.00,0.00,1.00,0.00,0.00,1.00,1.00,0.00,1.00,1.00,0.00,0.00,1.00,1.00,0.00,1.00,1.00, 
seq588,1.00,1.29,1.00,1.00,1.50,1.00,1.00,1.00,1.22,1.00,0.00,1.00,1.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00, 
seq589,0.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,1.00,0.00,0.00,1.00,1.25,1.00,0.00,0.00,1.00,1.00,0.00,1.00, 
seq590,1.57,1.00,1.00,1.00,1.00,1.67,1.00,1.00,1.00,1.00,0.00,1.00,1.00,1.33,1.00,1.33,1.22,1.00,1.00,1.33, 
seq591,1.29,1.00,0.00,0.00,1.00,1.83,0.00,1.00,1.00,1.00,0.00,1.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00, 
